"id","name","applicability","country_id"
"account_tag_103302","103_302","taxes","Ecuador"
"account_tag_103303","103_303","taxes","Ecuador"
"account_tag_103304","103_304","taxes","Ecuador"
"account_tag_103306","103_306","taxes","Ecuador"
"account_tag_103307","103_307","taxes","Ecuador"
"account_tag_103308","103_308","taxes","Ecuador"
"account_tag_103309","103_309","taxes","Ecuador"
"account_tag_103310","103_310","taxes","Ecuador"
"account_tag_103311","103_311","taxes","Ecuador"
"account_tag_103312","103_312","taxes","Ecuador"
"account_tag_103314","103_314","taxes","Ecuador"
"account_tag_103319","103_319","taxes","Ecuador"
"account_tag_103320","103_320","taxes","Ecuador"
"account_tag_103322","103_322","taxes","Ecuador"
"account_tag_103323","103_323","taxes","Ecuador"
"account_tag_103332","103_332","taxes","Ecuador"
"account_tag_103334","103_334","taxes","Ecuador"
"account_tag_103343","103_343","taxes","Ecuador"
"account_tag_103344","103_344","taxes","Ecuador"
"account_tag_103345","103_345","taxes","Ecuador"
"account_tag_103346","103_346","taxes","Ecuador"
"account_tag_103419","103_419","taxes","Ecuador"
"account_tag_103422","103_422","taxes","Ecuador"
